time_step,SI,S2,S3,SY1_G,SY1_L,SY2_G,SY2_L,SY3_G,SY3L,BawY,BY_G,BY_L
238,11.7903,12.2976,12.2976,0,0.0117903,0,0.0122976,0,0.0122976,12.2976,0,0.0122976
239,10.5813,10.5813,10.5813,0,0.0105813,0,0.0105813,0,0.0105813,10.5813,0,0.0105813
240,8.33901,8.33901,8.33901,0,0.00833901,0,0.00833901,0,0.00833901,8.33901,0,0.00833901
241,6.59956,6.59956,6.59956,0,0.00659956,0,0.00659956,0,0.00659956,6.59956,0,0.00659956
242,5.78342,5.78342,5.78342,0,0.00578342,0,0.00578342,0,0.00578342,5.78342,0,0.00578342
243,5.29929,5.29929,5.29929,0,0.00529929,0,0.00529929,0,0.00529929,5.29929,0,0.00529929
244,5.31053,5.31053,5.31053,0,0.00531053,0,0.00531053,0,0.00531053,5.31053,0,0.00531053
245,5.53161,5.53161,5.53161,0,0.00553161,0,0.00553161,0,0.00553161,5.53161,0,0.00553161
246,6.69324,6.69324,6.69324,0,0.00669324,0,0.00669324,0,0.00669324,6.69324,0,0.00669324
247,8.27779,8.27779,8.27779,0,0.00827779,0,0.00827779,0,0.00827779,8.27779,0,0.00827779
248,8.43136,8.43136,8.43136,0,0.00843136,0,0.00843136,0,0.00843136,8.43136,0,0.00843136
249,7.23903,7.23903,7.23903,0,0.00723903,0,0.00723903,0,0.00723903,7.23903,0,0.00723903
250,6.62483,6.62483,6.62483,0,0.00662483,0,0.00662483,0,0.00662483,6.62483,0,0.00662483
251,5.384,5.384,5.384,0,0.005384,0,0.005384,0,0.005384,5.384,0,0.005384
252,6.76457,6.76457,6.76457,0,0.00676457,0,0.00676457,0,0.00676457,6.76457,0,0.00676457
253,7.48322,7.48322,7.48322,0,0.00748322,0,0.00748322,0,0.00748322,7.48322,0,0.00748322
254,8.29159,8.29159,8.29159,0,0.00829159,0,0.00829159,0,0.00829159,8.29159,0,0.00829159
255,9.83986,9.83986,9.83986,0,0.00983986,0,0.00983986,0,0.00983986,9.83986,0,0.00983986
