"time_step,me,e,d,S1_G,S1_L,S2_G,S2_L,l,S3_G,S3_L,B_gen,B_L"
"136,-1.656,-2.96429,-1.656,0.00296429,0,0.001656,0,-1.64979,0.00164979,0,0.001656,0"
"137,-0.01,-2.53275,-0.00999999,0.00253275,0,9.99999E-06,0,-0.00964528,9.64528E-06,0,0.00001,0"
"138,2.853,-0.05445,0.14265,0.00005445,0,0,0.00014265,0.14265,0,0.00014265,0,0.002853"
"139,6.153,2.40164,0.30765,0,0.00240164,0,0.00030765,0.30765,0,0.00030765,0,0.006153"
"140,6.644,3.1062,0.3322,0,0.0031062,0,0.0003322,0.3322,0,0.0003322,0,0.006644"
"141,14.565,6.89879,0.728249,0,0.00689879,0,0.000728249,0.728249,0,0.000728249,0,0.014565"
"142,12.036,7.5615,0.6018,0,0.0075615,0,0.0006018,5.56212,0,0.00556212,0,0.012036"
"143,5.397,3.40105,0.26985,0,0.00340105,0,0.00026985,2.17935,0,0.00217935,0,0.005397"
"144,7.756,6.0479,0.3878,0,0.0060479,0,0.0003878,5.25744,0,0.00525744,0,0.007756"
"145,5.329,3.3473,0.26645,0,0.0033473,0,0.00026645,3.0509,0,0.0030509,0,0.005329"
"146,5.379,3.5417,0.26895,0,0.0035417,0,0.00026895,3.22725,0,0.00322725,0,0.005379"
"147,5.438,3.6102,5.40188,0,0.0036102,0,0.00540188,3.24445,0,0.00324445,0,0.005438"
"148,5.713,4.1911,5.713,0,0.0041911,0,0.005713,3.79806,0,0.00379806,0,0.005713"
"149,5.155,4.23285,5.155,0,0.00423285,0,0.005155,3.3521,0,0.0033521,0,0.005155"
"150,1.479,2.62645,1.479,0,0.00262645,0,0.001479,1.01059,0,0.00101059,0,0.001479"
"151,10.015,9.44471,10.015,0,0.00944471,0,0.010015,7.09474,0,0.00709474,0,0.010015"
"152,-7.286,0.3507,0,0,0.0003507,0,0,0,0,0,0.007286,0"
"153,-1.992,-4.31589,0,0.00431589,0,0,0,0,0,0,0.001992,0"
"154,-14.966,-7.23784,0,0.00723784,0,0,0,0,0,0,0.014966,0"
"155,-25.315,-12.664,0,0.012664,0,0,0,-6.78682,0.00678682,0,0.025315,0"
"156,-32.305,-14.7195,-13.2361,0.0147195,0,0.0132361,0,-23.5002,0.0235002,0,0.032305,0"
"157,-24.241,-17.2215,-23.2876,0.0172215,0,0.0232876,0,-20.6847,0.0206847,0,0.024241,0"
"158,-25.765,-20.1573,-25.7173,0.0201573,0,0.0257173,0,-22.9319,0.0229319,0,0.025765,0"
"159,-18.228,-15.8719,-18.2256,0.0158719,0,0.0182256,0,-18.0318,0.0180318,0,0.018228,0"
"160,-11.261,-11.6276,-11.2609,0.0116276,0,0.0112609,0,-10.5644,0.0105644,0,0.011261,0"
"161,-3.94,-6.1953,-3.93999,0.0061953,0,0.00393999,0,-3.78597,0.00378597,0,0.00394,0"
"162,5.742,-1.40182,0.2871,0.00140182,0,0,0.0002871,0.2871,0,0.0002871,0,0.005742"
"163,8.62,0.1859,0.431,0,0.0001859,0,0.000431,0.431,0,0.000431,0,0.00862"
"164,7.316,1.46619,0.3658,0,0.00146619,0,0.0003658,0.3658,0,0.0003658,0,0.007316"
"165,7.301,3.77175,0.36505,0,0.00377175,0,0.00036505,2.25914,0,0.00225914,0,0.007301"
"166,3.169,0.97355,0.15845,0,0.00097355,0,0.00015845,0.67335,0,0.00067335,0,0.003169"
"167,6.541,1.7226,0.32705,0,0.0017226,0,0.00032705,1.3844,0,0.0013844,0,0.006541"
